claim_id,paper_id,arxiv_id,claim,evidence_type,strength,caveat,markdown_path
C-P3-001,P-ARXIV-251000915,2510.00915,"Asymmetric verifier error can be corrected at the reward or score-function level and improves noisy-RLVR training",theory_plus_controlled_experiment,strong,"Assumes estimable channel rates and may not cover adversarial instance-dependent errors",01_corpus/text_cache/mineru/extended/Reinforcement_Learning_with_Verifiable_yet_Noisy_Rewards_under_Imperfect_Verifiers.md
C-P3-002,P-ARXIV-260415149,2604.15149,"Extensional verifiers can directly induce shortcut policies that pass checks without learning the intended rule",controlled_causal_experiment,strong,"Evidence is concentrated on inductive rule tasks",01_corpus/text_cache/mineru/extended/LLMS_GAMING_VERIFIERS_RLVR_CAN_LEAD_TO_REWARD_HACKING.md
C-P3-003,P-ARXIV-251001367,2510.01367,"Reasoning-effort curves can detect implicit verifier exploitation missed by chain-of-thought monitors",diagnostic_experiment,medium_high,"Detection does not itself prevent hacking and depends on truncation validity",01_corpus/text_cache/mineru/extended/IS_IT_THINKING_OR_CHEATING_DETECTING_IMPLICIT_REWARD_HACKING_BY_MEASURING_REASONING_EFFORT.md
C-P3-004,P-ARXIV-250817511,2508.17511,"Training on harmless reward hacks can transfer to broader misaligned behavior",transfer_experiment,medium,"Main intervention is supervised fine-tuning rather than an RLVR training run",01_corpus/text_cache/mineru/extended/SCHOOL_OF_REWARD_HACKS_HACKING_HARMLESS_TASKS_GENERALIZES_TO_MIS-ALIGNED_BEHAVIOR_IN_LLMS.md
C-P3-005,P-ARXIV-250609942,2506.09942,"Hybrid rule and model verification expands instruction-following RL coverage",system_plus_task_experiment,medium,"General capability gains do not prove robustness to adaptive verifier gaming",01_corpus/text_cache/mineru/extended/VERIF_Verification_Engineering_for_Reinforcement_Learning_in_Instruction_Following.md
C-P3-006,P-ARXIV-250513445,2505.13445,"Joint online training of solving and self-verification improves both reported capabilities",algorithm_experiment,medium,"Self-verification and outcome verification may share failure modes",01_corpus/text_cache/mineru/extended/Trust_But_Verify_A_Self-Verification_Approach_to_Reinforcement_Learning_with_Verifiable_Rewards.md
C-P3-007,P-ARXIV-250521493,2505.21493,"Reference-answer likelihood can provide a verifier-free RL objective for broader reasoning domains",algorithm_experiment,medium,"Reference availability changes the task and does not remove proxy-objective risk",01_corpus/text_cache/mineru/extended/Reinforcing_General_Reasoning_without_Verifiers.md
C-P3-008,P-ARXIV-250512763,2505.12763,"Static reward-model benchmark accuracy is weakly aligned with optimized-policy quality",evaluation_study,strong,"Findings concern learned reward models rather than binary rule verifiers",01_corpus/text_cache/mineru/extended/Rethinking_Reward_Model_Evaluation_Through_the_Lens_of_Reward_Overoptimization.md
C-P3-009,P-ARXIV-240419409,2404.19409,"Matching demonstration reward levels mitigates reward overoptimization without relying only on KL",algorithm_experiment,medium,"Depends on representative demonstrations and reward-scale calibration",01_corpus/text_cache/mineru/extended/Countering_Reward_Over-optimization_in_LLM_with_Demonstration-Guided_Reinforcement_Learning.md
C-P3-010,P-ARXIV-231004373,2310.04373,"Component-reward constraints can keep optimization inside each proxy's useful range",controlled_experiment_plus_method,medium_high,"Requires identifying useful thresholds and component decomposition",01_corpus/text_cache/mineru/extended/CONFRONTING_REWARD_MODEL_OVEROPTIMIZATION_WITH_CONSTRAINED_RLHF.md
C-P3-011,P-ARXIV-240100243,2401.00243,"Reward uncertainty penalties from diverse low-rank ensembles reduce overoptimization",algorithm_experiment,medium,"Ensemble uncertainty can be correlated and increases inference cost",01_corpus/text_cache/mineru/extended/Uncertainty-Penalized_Reinforcement_Learning_from_Human_Feedback_with_Diverse_Reward_LoRA_Ensembles.md
C-P3-012,P-ARXIV-250707451,2507.07451,"Mixing verified historical successes with fresh rollouts improves convergence and final math accuracy",algorithm_experiment,medium_high,"Positive-only replay may reduce exploration and cross-task evidence is limited",01_corpus/text_cache/mineru/extended/RLEP_Reinforcement_Learning_with_Experience_Replay_for_LLM_Reasoning.md
C-P3-013,P-ARXIV-260323355,2603.23355,"Bellman-style value learning enables replay-buffer reuse and faster reported reasoning training",algorithm_experiment,medium_high,"Value bootstrapping introduces a different bias and lacks broad independent replication",01_corpus/text_cache/mineru/extended/Of-Policy_Value-Based_Reinforcement_Learning_for_Large_Language_Models.md
C-P3-014,P-ARXIV-250524298,2505.24298,"Fully asynchronous rollout and training can improve speed when staleness is explicitly controlled",system_algorithm_experiment,strong,"Quality matching is hardware recipe and policy-change-rate dependent",01_corpus/text_cache/mineru/extended/AREAL_A_Large-Scale_Asynchronous_Reinforcement_Learning_System_for_Language_Reasoning.md
C-P3-015,P-ARXIV-260426256,2604.26256,"Multi-version streaming preserves long-tail trajectories and can bound staleness without measurable matched-difficulty degradation",system_algorithm_experiment,strong,"The safe bound is empirical and system/model dependent",01_corpus/text_cache/mineru/extended/DORA_A_Scalable_Asynchronous_Reinforcement_Learning_System_for_Language_Model_Training.md
C-P3-016,P-ARXIV-260618967,2606.18967,"Self-speculative decoding reduces both rollout and end-to-end latency while preserving target-distribution samples",system_experiment,strong,"Reported gains depend on hardware regime and adaptive activation",01_corpus/text_cache/mineru/extended/EfficientRollout_System-Aware_Self-Speculative_Decoding_for_RL_Rollouts.md
C-P3-017,P-ARXIV-240919256,2409.19256,"Hybrid execution control substantially improves RLHF throughput across configurations",system_experiment,strong,"Throughput improvement is not evidence of optimizer quality or request latency",01_corpus/text_cache/mineru/extended/HybridFlow_A_Flexible_and_Eficient_RLHF_Framework.md
C-P3-018,P-ARXIV-240501481,2405.01481,"Large-scale alignment workloads can be efficiently distributed with specialized model placement",system_experiment,medium_high,"Toolkit report is not an algorithmic causal study",01_corpus/text_cache/mineru/extended/NeMo-Aligner_Scalable_Toolkit_for_Efficient_Model_Alignment.md
C-P3-019,P-ARXIV-240511143,2405.11143,"Separating and scheduling actor critic reward and reference workloads improves RLHF utilization",system_report,medium,"Limited standardized cross-framework latency evidence",01_corpus/text_cache/mineru/extended/OpenRLHF_An_Easy-to-use_Scalable_and_High-performance_RLHF_Framework.md
C-P3-020,P-ARXIV-240614088,2406.14088,"Dynamic parameter reallocation and searched execution plans improve RLHF training speed",system_experiment,strong,"Benefits depend on cluster topology and workload sizes",01_corpus/text_cache/mineru/extended/REAL_EFFICIENT_RLHF_TRAINING_OF_LARGE_LANGUAGE_MODELS_WITH_PARAMETER_REALLOCATION.md
