conflict_id,mechanism_a,mechanism_b,shared_assumption,compatibility,current_evidence,main_risk,low_cost_discriminator
MC-01,"group reward standardization","mean-only group centering","grouped rewards estimate relative advantage",alternative,"GRPO vs DrGRPO plus U-statistic analysis","standardization changes task weighting","controlled reward-scale and difficulty grid"
MC-02,"per-response mean loss","per-token global loss","outcome reward can be broadcast over tokens",alternative,"GRPO/DrGRPO/DAPO and length impossibility theorem","unavoidable length-objective tradeoff","matched-correctness padding and truncation test"
MC-03,"token-level hard clipping","sequence-level hard gate","importance ratio measures policy shift",partially_incompatible,"GRPO/CISPO vs GSPO","token variance versus whole-sequence gradient loss","log gradient support and objective improvement on fixed rollouts"
MC-04,"hard gate","smooth adaptive gate","stale updates should be attenuated",alternative,"GSPO/CISPO vs SAPO","temperature sensitivity and persistent bias","ratio-outlier sweep with matched effective step size"
MC-05,"critic-free group baseline","learned critic plus GAE","variance reduction improves policy gradient",combinable_but_costly,"RLOO/GRPO vs VAPO","value bias and extra compute","small long-horizon task with oracle return decomposition"
MC-06,"fresh on-policy updates","verified-success replay","historical successful trajectories remain useful",conditional,"StabilizingRL versus RLEP","staleness and exploration collapse","replay-age by replay-ratio factorial test"
MC-07,"policy-gradient replay","value-based replay","off-policy data can improve sample efficiency",alternative,"RLEP versus ReVal","importance variance versus bootstrap bias","same buffer and rollout budget comparison"
MC-08,"synchronous barrier","bounded asynchronous rollout","small policy lag is tolerable",conditional,"StabilizingRL versus AReaL/DORA","difficulty-linked staleness confound","difficulty-matched checkpoint replay test"
MC-09,"outcome reward","implicit process reward","terminal correctness anchors useful learning",combinable,"GRPO/VAPO versus PRIME","dense proxy can reinforce plausible wrong steps","prefix perturbation and step-label audit"
MC-10,"single or hybrid verifier","verifier-free reference objective","reference answers or judges encode task success",alternative,"VerIF/RISE versus VeriFree","different supervision availability makes comparisons non-equivalent","same task with controlled verifier/reference access"
MC-11,"unbounded proxy maximization","reward calibration or constraints","proxy quality degrades outside training support",alternative,"standard RLHF versus RCfD/constrained RLHF/UP-RLHF","conservatism can under-optimize","known gold-reward overoptimization curve"
MC-12,"throughput optimization","latency optimization","system changes preserve sampled distribution",combinable,"HybridFlow/ReaLHF versus EfficientRollout","aggregate tokens per second hides tail latency","report p50/p95 rollout and end-to-end wall clock together"
MC-13,"dynamic informative-group sampling","unbiased prompt distribution","zero-variance groups are uninformative",conditional,"DAPO","filtering changes task and difficulty distribution","importance-corrected sampling ablation"
