paper_id,arxiv_id,title,authors,year,abstract,source_file,source_url,corpus_tier,mineru_markdown,file_hash_sha256,file_size_bytes,page_count,readable,first_page_text_chars,main_version,duplicate_of,exclusion_status,error
P-ARXIV-240203300,2402.03300,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,Zhihong Shao; Peiyi Wang; Qihao Zhu; Runxin Xu; Junxiao Song; Xiao Bi; Haowei Zhang; Mingchuan Zhang; Y. K. Li; Y. Wu; Daya Guo,2024,"Mathematical reasoning poses a significant challenge for language models due to its complex and structured nature. In this paper, we introduce DeepSeekMath 7B, which continues pre-training DeepSeek-Coder-Base-v1.5 7B with 120B math-related tokens sourced from Common Crawl, together with natural language and code data. DeepSeekMath 7B has achieved an impressive score of 51.7% on the competition-level MATH benchmark without relying on external toolkits and voting techniques, approaching the performance level of Gemini-Ultra and GPT-4. Self-consistency over 64 samples from DeepSeekMath 7B achieves 60.9% on MATH. The mathematical reasoning capability of DeepSeekMath is attributed to two key factors: First, we harness the significant potential of publicly available web data through a meticulously engineered data selection pipeline. Second, we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO.",01_corpus/raw/core_candidates/2402.03300_DeepSeekMath.pdf,https://arxiv.org/abs/2402.03300,core15,01_corpus/text_cache/mineru/core_candidates/DeepSeekMath_Pushing_the_Limits_of_Mathematical_Reasoning_in_Open_Language_Models.md,6cc20b3c5b8d25b8b53868fc4ec1792c144f07d67bdf7395138efd4422197e7b,1844642,30,true,1725,true,,,
P-ARXIV-250314476,2503.14476,DAPO: An Open-Source LLM Reinforcement Learning System at Scale,Qiying Yu; Zheng Zhang; Ruofei Zhu; Yufeng Yuan; Xiaochen Zuo; Yu Yue; Weinan Dai; Tiantian Fan; Gaohong Liu; Lingjun Liu; Xin Liu; Haibin Lin; Zhiqi Lin; Bole Ma; Guangming Sheng; Yuxuan Tong; Chi Zhang; Mofan Zhang; Wang Zhang; Hang Zhu; Jinhua Zhu; Jiaze Chen; Jiangjie Chen; Chengyi Wang; Hongli Yu; Yuxuan Song; Xiangpeng Wei; Hao Zhou; Jingjing Liu; Wei-Ying Ma; Ya-Qin Zhang; Lin Yan; Mu Qiao; Yonghui Wu; Mingxuan Wang,2025,"Inference scaling empowers LLMs with unprecedented reasoning ability, with reinforcement learning as the core technique to elicit complex reasoning. However, key technical details of state-of-the-art reasoning LLMs are concealed (such as in OpenAI o1 blog and DeepSeek R1 technical report), thus the community still struggles to reproduce their RL training results. We propose the $\textbf{D}$ecoupled Clip and $\textbf{D}$ynamic s$\textbf{A}$mpling $\textbf{P}$olicy $\textbf{O}$ptimization ($\textbf{DAPO}$) algorithm, and fully open-source a state-of-the-art large-scale RL system that achieves 50 points on AIME 2024 using Qwen2.5-32B base model. Unlike previous works that withhold training details, we introduce four key techniques of our algorithm that make large-scale LLM RL a success. In addition, we open-source our training code, which is built on the verl framework, along with a carefully curated and processed dataset. These components of our open-source system enhance reproducibility and support future research in large-scale LLM RL.",01_corpus/raw/core_candidates/2503.14476_DAPO.pdf,https://arxiv.org/abs/2503.14476,core15,01_corpus/text_cache/mineru/core_candidates/DAPO_An_Open-Source_LLM_Reinforcement_Learning_System_at_Scale.md,f01e4fd347530cadd68e5c36b1998532a6d1adb272c817e73b927453c26e9d79,826801,16,true,1819,true,,,
P-ARXIV-250320783,2503.20783,Understanding R1-Zero-Like Training: A Critical Perspective,Zichen Liu; Changyu Chen; Wenjun Li; Penghui Qi; Tianyu Pang; Chao Du; Wee Sun Lee; Min Lin,2025,"DeepSeek-R1-Zero has shown that reinforcement learning (RL) at scale can directly enhance the reasoning capabilities of LLMs without supervised fine-tuning. In this work, we critically examine R1-Zero-like training by analyzing its two core components: base models and RL. We investigate a wide range of base models, including DeepSeek-V3-Base, to understand how pretraining characteristics influence RL performance. Our analysis reveals that DeepSeek-V3-Base already exhibit ''Aha moment'', while Qwen2.5 base models demonstrate strong reasoning capabilities even without prompt templates, suggesting potential pretraining biases. Additionally, we identify an optimization bias in Group Relative Policy Optimization (GRPO), which artificially increases response length (especially for incorrect outputs) during training. To address this, we introduce Dr. GRPO, an unbiased optimization method that improves token efficiency while maintaining reasoning performance. Leveraging these insights, we present a minimalist R1-Zero recipe that achieves 43.3% accuracy on AIME 2024 with a 7B base model, establishing a new state-of-the-art. Our code is available at https://github.com/sail-sg/understand-r1-zero.",01_corpus/raw/core_candidates/2503.20783_DrGRPO.pdf,https://arxiv.org/abs/2503.20783,core15,01_corpus/text_cache/mineru/core_candidates/Understanding_R1-Zero-Like_Training_A_Critical_Perspective.md,98243d51297f011fb5baad8a70a972d061ffbef618f1d7cfc10deea37c5887d0,1620055,20,true,3482,true,,,
P-ARXIV-250405118,2504.05118,VAPO: Efficient and Reliable Reinforcement Learning for Advanced Reasoning Tasks,Yu Yue; Yufeng Yuan; Qiying Yu; Xiaochen Zuo; Ruofei Zhu; Wenyuan Xu; Jiaze Chen; Chengyi Wang; TianTian Fan; Zhengyin Du; Xiangpeng Wei; Xiangyu Yu; Gaohong Liu; Juncai Liu; Lingjun Liu; Haibin Lin; Zhiqi Lin; Bole Ma; Chi Zhang; Mofan Zhang; Wang Zhang; Hang Zhu; Ru Zhang; Xin Liu; Mingxuan Wang; Yonghui Wu; Lin Yan,2025,"We present VAPO, Value-based Augmented Proximal Policy Optimization framework for reasoning models., a novel framework tailored for reasoning models within the value-based paradigm. Benchmarked the AIME 2024 dataset, VAPO, built on the Qwen 32B pre-trained model, attains a state-of-the-art score of $\mathbf{60.4}$. In direct comparison under identical experimental settings, VAPO outperforms the previously reported results of DeepSeek-R1-Zero-Qwen-32B and DAPO by more than 10 points. The training process of VAPO stands out for its stability and efficiency. It reaches state-of-the-art performance within a mere 5,000 steps. Moreover, across multiple independent runs, no training crashes occur, underscoring its reliability. This research delves into long chain-of-thought (long-CoT) reasoning using a value-based reinforcement learning framework. We pinpoint three key challenges that plague value-based methods: value model bias, the presence of heterogeneous sequence lengths, and the sparsity of reward signals. Through systematic design, VAPO offers an integrated solution that effectively alleviates these challenges, enabling enhanced performance in long-CoT reasoning tasks.",01_corpus/raw/core_candidates/2504.05118_VAPO.pdf,https://arxiv.org/abs/2504.05118,core15,01_corpus/text_cache/mineru/core_candidates/VAPO_Efficient_and_Reliable_Reinforcement_Learning_for_Advanced_Reasoning_Tasks.md,a10387626b86a8f9a6a80d17e727eb5a5036dc237a81d370c26e60d7c4168457,1129657,13,true,1698,true,,,
P-ARXIV-250613585,2506.13585,MiniMax-M1: Scaling Test-Time Compute Efficiently with Lightning Attention,MiniMax; :; Aili Chen; Aonian Li; Bangwei Gong; Binyang Jiang; Bo Fei; Bo Yang; Boji Shan; Changqing Yu; Chao Wang; Cheng Zhu; Chengjun Xiao; Chengyu Du; Chi Zhang; Chu Qiao; Chunhao Zhang; Chunhui Du; Congchao Guo; Da Chen; Deming Ding; Dianjun Sun; Dong Li; Enwei Jiao; Haigang Zhou; Haimo Zhang; Han Ding; Haohai Sun; Haoyu Feng; Huaiguang Cai; Haichao Zhu; Jian Sun; Jiaqi Zhuang; Jiaren Cai; Jiayuan Song; Jin Zhu; Jingyang Li; Jinhao Tian; Jinli Liu; Junhao Xu; Junjie Yan; Junteng Liu; Junxian He; Kaiyi Feng; Ke Yang; Kecheng Xiao; Le Han; Leyang Wang; Lianfei Yu; Liheng Feng; Lin Li; Lin Zheng; Linge Du; Lingyu Yang; Lunbin Zeng; Minghui Yu; Mingliang Tao; Mingyuan Chi; Mozhi Zhang; Mujie Lin; Nan Hu; Nongyu Di; Peng Gao; Pengfei Li; Pengyu Zhao; Qibing Ren; Qidi Xu; Qile Li; Qin Wang; Rong Tian; Ruitao Leng; Shaoxiang Chen; Shaoyu Chen; Shengmin Shi; Shitong Weng; Shuchang Guan; Shuqi Yu; Sichen Li; Songquan Zhu; Tengfei Li; Tianchi Cai; Tianrun Liang; Weiyu Cheng; Weize Kong; Wenkai Li; Xiancai Chen; Xiangjun Song; Xiao Luo; Xiao Su; Xiaobo Li; Xiaodong Han; Xinzhu Hou; Xuan Lu; Xun Zou; Xuyang Shen; Yan Gong; Yan Ma; Yang Wang; Yiqi Shi; Yiran Zhong; Yonghong Duan; Yongxiang Fu; Yongyi Hu; Yu Gao; Yuanxiang Fan; Yufeng Yang; Yuhao Li; Yulin Hu; Yunan Huang; Yunji Li; Yunzhi Xu; Yuxin Mao; Yuxuan Shi; Yuze Wenren; Zehan Li; Zelin Li; Zhanxu Tian; Zhengmao Zhu; Zhenhua Fan; Zhenzhen Wu; Zhichao Xu; Zhihang Yu; Zhiheng Lyu; Zhuo Jiang; Zibo Gao; Zijia Wu; Zijian Song; Zijun Sun,2025,"We introduce MiniMax-M1, the world's first open-weight, large-scale hybrid-attention reasoning model. MiniMax-M1 is powered by a hybrid Mixture-of-Experts (MoE) architecture combined with a lightning attention mechanism. The model is developed based on our previous MiniMax-Text-01 model, which contains a total of 456 billion parameters with 45.9 billion parameters activated per token. The M1 model natively supports a context length of 1 million tokens, 8x the context size of DeepSeek R1. Furthermore, the lightning attention mechanism in MiniMax-M1 enables efficient scaling of test-time compute. These properties make M1 particularly suitable for complex tasks that require processing long inputs and thinking extensively. MiniMax-M1 is trained using large-scale reinforcement learning (RL) on diverse problems including sandbox-based, real-world software engineering environments. In addition to M1's inherent efficiency advantage for RL training, we propose CISPO, a novel RL algorithm to further enhance RL efficiency. CISPO clips importance sampling weights rather than token updates, outperforming other competitive RL variants. Combining hybrid-attention and CISPO enables MiniMax-M1's full RL training on 512 H800 GPUs to complete in only three weeks, with a rental cost of just $534,700. We release two versions of MiniMax-M1 models with 40K and 80K thinking budgets respectively, where the 40K model represents an intermediate phase of the 80K training. Experiments on standard benchmarks show that our models are comparable or superior to strong open-weight models such as the original DeepSeek-R1 and Qwen3-235B, with particular strengths in complex software engineering, tool utilization, and long-context tasks. We publicly release MiniMax-M1 at https://github.com/MiniMax-AI/MiniMax-M1.",01_corpus/raw/core_candidates/2506.13585v1_MiniMax-M1_CISPO.pdf,https://arxiv.org/abs/2506.13585,core15,01_corpus/text_cache/mineru/core_candidates/MiniMax-M1_Scaling_Test-Time_Compute_Eficiently_with_Lightning_Attention.md,d355a6a41a26b85ca145aec5154650f4d39733c92f54775ae7f5851ecbedf600,1584812,22,true,3104,true,,,
P-ARXIV-250718071,2507.18071,Group Sequence Policy Optimization,Chujie Zheng; Shixuan Liu; Mingze Li; Xiong-Hui Chen; Bowen Yu; Chang Gao; Kai Dang; Yuqiong Liu; Rui Men; An Yang; Jingren Zhou; Junyang Lin,2025,"This paper introduces Group Sequence Policy Optimization (GSPO), our stable, efficient, and performant reinforcement learning algorithm for training large language models. Unlike previous algorithms that adopt token-level importance ratios, GSPO defines the importance ratio based on sequence likelihood and performs sequence-level clipping, rewarding, and optimization. We demonstrate that GSPO achieves superior training efficiency and performance compared to the GRPO algorithm, notably stabilizes Mixture-of-Experts (MoE) RL training, and has the potential for simplifying the design of RL infrastructure. These merits of GSPO have contributed to the remarkable improvements in the latest Qwen3 models.",01_corpus/raw/core_candidates/2507.18071v2_GSPO.pdf,https://arxiv.org/abs/2507.18071,core15,01_corpus/text_cache/mineru/core_candidates/Group_Sequence_Policy_Optimization.md,67221ec313f42d8b3029686b604b2621a311ae0d74e38524092e7c7a94613bd0,458773,7,true,3639,true,,,
P-ARXIV-251120347,2511.20347,Soft Adaptive Policy Optimization,Chang Gao; Chujie Zheng; Xiong-Hui Chen; Kai Dang; Shixuan Liu; Bowen Yu; An Yang; Shuai Bai; Jingren Zhou; Junyang Lin,2025,"Reinforcement learning (RL) plays an increasingly important role in enhancing the reasoning capabilities of large language models (LLMs), yet stable and performant policy optimization remains challenging. Token-level importance ratios often exhibit high variance-a phenomenon exacerbated in Mixture-of-Experts models-leading to unstable updates. Existing group-based policy optimization methods, such as GSPO and GRPO, alleviate this problem via hard clipping, making it difficult to maintain both stability and effective learning. We propose Soft Adaptive Policy Optimization (SAPO), which replaces hard clipping with a smooth, temperature-controlled gate that adaptively attenuates off-policy updates while preserving useful learning signals. Compared with GSPO and GRPO, SAPO is both sequence-coherent and token-adaptive. Like GSPO, SAPO maintains sequence-level coherence, but its soft gating forms a continuous trust region that avoids the brittle hard clipping band used in GSPO. When a sequence contains a few highly off-policy tokens, GSPO suppresses all gradients for that sequence, whereas SAPO selectively down-weights only the offending tokens and preserves the learning signal from the near-on-policy ones, improving sample efficiency. Relative to GRPO, SAPO replaces hard token-level clipping with smooth, temperature-controlled scaling, enabling more informative and stable updates. Empirical results on mathematical reasoning benchmarks indicate that SAPO exhibits improved training stability and higher Pass@1 performance under comparable training budgets. Moreover, we employ SAPO to train the Qwen3-VL model series, demonstrating that SAPO yields consistent performance gains across diverse tasks and different model sizes. Overall, SAPO provides a more reliable, scalable, and effective optimization strategy for RL training of LLMs.",01_corpus/raw/core_candidates/2511.20347v2_Soft-Adaptive-Policy-Optimization.pdf,https://arxiv.org/abs/2511.20347,core15,01_corpus/text_cache/mineru/core_candidates/Soft_Adaptive_Policy_Optimization.md,a413610718e93f3519de9ce3cf31511ec07a283784d8fb68b3d61b9891efdd0f,905224,9,true,4310,true,,,
P-ARXIV-251201374,2512.01374,Stabilizing Reinforcement Learning with LLMs: Formulation and Practices,Chujie Zheng; Kai Dang; Bowen Yu; Mingze Li; Huiqiang Jiang; Junrong Lin; Yuqiong Liu; Hao Lin; Chencan Wu; Feng Hu; An Yang; Jingren Zhou; Junyang Lin,2025,"This paper proposes a novel formulation for reinforcement learning (RL) with large language models, explaining why and under what conditions the true sequence-level reward can be optimized via a surrogate token-level objective in policy gradient methods such as REINFORCE. Specifically, through a first-order approximation, we show that this surrogate becomes increasingly valid only when both the training-inference discrepancy and policy staleness are minimized. This insight provides a principled explanation for the crucial role of several widely adopted techniques in stabilizing RL training, including importance sampling correction, clipping, and particularly Routing Replay for Mixture-of-Experts (MoE) models. Through extensive experiments with a 30B MoE model totaling hundreds of thousands of GPU hours, we show that for on-policy training, the basic policy gradient algorithm with importance sampling correction achieves the highest training stability. When off-policy updates are introduced to accelerate convergence, combining clipping and Routing Replay becomes essential to mitigate the instability caused by policy staleness. Notably, once training is stabilized, prolonged optimization consistently yields comparable final performance regardless of cold-start initialization. We hope that the shared insights and the developed recipes for stable RL training will facilitate future research.",01_corpus/raw/core_candidates/2512.01374v3_Stabilizing-RL-with-LLMs.pdf,https://arxiv.org/abs/2512.01374,core15,01_corpus/text_cache/mineru/core_candidates/Stabilizing_Reinforcement_Learning_with_LLMs_Formulation_and_Practices.md,cbce1736ae03cc9d4c627b2666e2b2efbeb6efdac09fbd58ce59ac0dac3e373d,937890,13,true,4331,true,,,
P-ARXIV-260105002,2601.05002,On the Hidden Objective Biases of Group-based Reinforcement Learning,Aleksandar Fontana; Marco Simoni; Giulio Rossolini; Andrea Saracino; Paolo Mori,2026,"Group-based reinforcement learning methods, like Group Relative Policy Optimization (GRPO), are widely used nowadays to post-train large language models. Despite their empirical success, they exhibit structural mismatches between reward optimization and the underlying training objective. In this paper, we present a theoretical analysis of GRPO style methods by studying them within a unified surrogate formulation. This perspective reveals recurring properties that affect all the methods under analysis: (i) non-uniform group weighting induces systematic gradient biases on shared prefix tokens; (ii) interactions with the AdamW optimizer make training dynamics largely insensitive to reward scaling; and (iii) optimizer momentum can push policy updates beyond the intended clipping region under repeated optimization steps. We believe that these findings highlight fundamental limitations of current approaches and provide principled guidance for the design of future formulations.",01_corpus/raw/core_candidates/2601.05002v1_Hidden-Objective-Biases.pdf,https://arxiv.org/abs/2601.05002,core15,01_corpus/text_cache/mineru/core_candidates/On_the_Hidden_Objective_Biases_of_Group-based_Reinforcement_Learning.md,20de4f9a075a70470d20a69f50dab90176034ac55b03d04cef55acc47b29c0b6,442558,12,true,4176,true,,,
P-ARXIV-260301162,2603.01162,Demystifying Group Relative Policy Optimization: Its Policy Gradient is a U-Statistic,Hongyi Zhou; Kai Ye; Erhan Xu; Jin Zhu; Ying Yang; Shijin Gong; Chengchun Shi,2026,"Group relative policy optimization (GRPO), a core methodological component of DeepSeekMath and DeepSeek-R1, has emerged as a cornerstone for scaling reasoning capabilities of large language models. Despite its widespread adoption and the proliferation of follow-up works, the theoretical properties of GRPO remain less studied. This paper provides a unified framework to understand GRPO through the lens of classical U-statistics. We demonstrate that the GRPO policy gradient is inherently a U-statistic, allowing us to characterize its mean squared error (MSE), derive the finite-sample error bound and asymptotic distribution of the suboptimality gap for its learned policy. Our findings reveal that GRPO is asymptotically equivalent to an oracle policy gradient algorithm -- one with access to a value function that quantifies the goodness of its learning policy at each training iteration -- and achieves asymptotically optimal performance within a broad class of policy gradient algorithms. Furthermore, we establish a universal scaling law that offers principled guidance for selecting the optimal group size. Empirical experiments further validate our theoretical findings, demonstrating that the optimal group size is universal, and verify the oracle property of GRPO.",01_corpus/raw/core_candidates/2603.01162v3_GRPO-U-Statistic.pdf,https://arxiv.org/abs/2603.01162,core15,01_corpus/text_cache/mineru/core_candidates/Demystifying_Group_Relative_Policy_Optimization_Its_Policy_Gradient_is_a_U-Statistic.md,4e5b6c013e77cd2b7a7e850d753f0ac41f04f4d93982175250e0e2f93b601d90,2685784,53,true,2966,true,,,
